TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
GRAO3;0,00;;0,00;0,00;0,00;4,40;3,89;1,28;0,00;1,51;1,51;1,18;0,00;0,00;0,00;0,92;25,93;4,44;21,91;0,17;0,76;3,46;41,49;84,79;;1,82;0,47;0,00;0,00
GRND3;3,86;34,13;5,50;1,10;0,85;44,46;12,47;24,80;10,93;8,89;-2,04;-0,20;1,36;2,49;-1,93;2,55;19,96;15,43;8,21;0,77;0,23;0,62;6,38;9,35;9.839.406,50;3,52;0,70;-0,52;3.482.337.600,00
GSHP3;3,78;;-0,02;0,00;0,01;67,55;-189,89;-200,33;-0,02;-5,74;-5,72;;0,04;-0,05;-0,01;0,46;-21,44;-37,61;-109,90;-1,75;2,75;0,19;15,69;;3.580,56;-930,43;-199,51;0,00;7.290.746,82
HAGA3;2,50;;11,40;-0,62;0,41;24,34;-3,04;8,92;-33,40;8,89;34,18;;1,02;0,74;-3,98;2,61;-5,42;3,57;4,82;-0,66;1,66;0,40;-0,92;-14,10;12.983,86;-4,05;0,22;0,36;22.530.666,97
HAGA4;1,59;;7,25;-0,39;0,26;24,34;-3,04;8,92;-21,24;8,89;34,18;;0,65;0,47;-2,53;2,61;-5,42;3,57;4,82;-0,66;1,66;0,40;-0,92;-14,10;29.497,91;-4,05;0,22;0,23;22.530.666,97
HAPV3;10,24;;-12,00;0,11;0,07;11,65;4,19;-1,36;3,90;7,67;3,77;0,10;0,16;1,04;-0,08;1,79;-0,89;-0,59;1,57;0,66;0,34;0,43;29,85;;59.045.813,24;95,80;-0,85;0,64;5.146.940.252,16
HBOR3;2,20;0,92;52,41;0,20;0,04;30,22;10,57;0,48;2,37;15,79;13,42;1,15;0,25;0,17;-0,08;2,34;0,39;0,08;2,12;0,22;0,58;0,18;2,99;-26,68;1.787.864,24;10,82;0,04;-0,58;294.472.358,40
HBRE3;2,60;44,82;8,95;0,15;0,05;39,39;64,13;5,43;0,76;4,53;3,77;0,74;0,49;-1,61;-0,06;0,72;1,66;0,61;7,06;0,37;0,46;0,11;47,10;;441.178,90;17,54;0,29;-0,58;268.291.350,60
HBSA3;3,72;;-25,53;2,52;0,82;37,96;24,58;-8,99;9,34;14,51;5,17;1,40;2,30;4,54;-1,09;3,59;-9,88;-3,20;7,09;0,32;0,68;0,36;8,92;;8.211.704,48;1,47;-0,15;0,41;5.060.623.431,96
HBTS3;0,00;;0,00;0,00;0,00;46,94;150,33;158,41;0,00;;2,17;0,26;0,00;0,00;0,00;0,75;12,79;5,03;7,39;0,39;0,61;0,03;-7,82;124,83;;71,98;9,21;0,00;
HBTS5;32,38;6,23;3,52;0,45;0,18;46,94;150,33;158,41;3,71;;2,17;0,26;5,57;-6,49;-0,19;0,75;12,79;5,03;7,39;0,39;0,61;0,03;-7,82;124,83;2.737,75;71,98;9,21;0,01;
HBTS6;0,00;;0,00;0,00;0,00;46,94;150,33;158,41;0,00;;2,17;0,26;0,00;0,00;0,00;0,75;12,79;5,03;7,39;0,39;0,61;0,03;-7,82;124,83;;71,98;9,21;0,00;
HETA3;96,00;;63,42;-0,14;4,71;100,00;87,46;17,01;12,33;86,35;81,76;;10,79;-10,69;-5,25;0,19;-0,22;7,43;-14,56;-33,69;34,69;0,44;24,64;;;-686,23;1,51;-5,09;18.230.653,30
HETA4;5,30;;3,50;-0,01;0,26;100,00;87,46;17,01;0,68;86,35;81,76;;0,60;-0,59;-0,29;0,19;-0,22;7,43;-14,56;-33,69;34,69;0,44;24,64;;209,40;-686,23;1,51;-0,28;18.230.653,30
HGTX3;37,50;;101,99;3,57;2,48;40,58;-0,59;4,10;-707,65;-713,65;-5,99;0,03;4,18;7,50;-5,59;2,47;3,51;2,43;-13,60;0,69;0,31;0,59;-7,54;-26,63;;10,49;0,37;-1,23;6.095.022.637,50
HOOT3;0,00;;0,00;0,00;0,00;64,96;40,17;17,19;0,00;0,03;-0,66;;0,00;0,00;0,00;0,89;-266,14;6,32;-93,20;-0,02;1,08;0,37;39,80;;;-0,71;1,89;0,00;56.050.907,40
HOOT4;7,10;;3,75;-9,98;0,24;64,96;40,17;17,19;1,60;0,03;-0,66;;0,64;-7,54;-0,31;0,89;-266,14;6,32;-93,20;-0,02;1,08;0,37;39,80;;26.501,19;-0,71;1,89;-0,07;56.050.907,40
HYPE3;21,57;3,93;9,02;1,08;0,58;60,74;28,87;19,48;6,09;8,59;2,50;0,44;1,76;4,63;-0,79;1,95;11,91;6,47;9,12;0,54;0,46;0,33;13,49;5,38;49.778.922,00;20,06;2,39;0,08;15.185.475.402,63
IDVL3;2,16;;-0,99;0,93;0,06;-18,91;-40,19;-154,60;-3,81;-3,84;;;1,53;0,48;-0,13;1,26;-94,38;-5,67;;0,06;0,94;0,04;-32,17;;;2,31;-2,18;0,00;224.007.574,38
IDVL4;2,67;;-1,22;1,16;0,07;-18,91;-40,19;-154,60;-4,71;-3,84;;;1,89;0,59;-0,16;1,26;-94,38;-5,67;;0,06;0,94;0,04;-32,17;;;2,31;-2,18;0,00;224.007.574,38
IFCM3;0,48;;-0,19;0,43;0,05;20,39;-18,36;-53,78;-0,54;-3,68;-3,14;2,51;0,10;0,27;-0,10;1,67;-234,17;-28,01;-19,56;0,12;0,88;0,52;24,65;;127.751,48;1,11;-2,59;0,00;66.140.998,56
IGBR3;175,99;;0,56;-0,34;1,04;100,00;6.032,01;5.379,32;0,50;1,06;0,56;;30,26;-0,99;-2,15;0,33;-60,10;184,10;-146,75;-3,06;4,06;0,03;-7,98;;;-520,56;312,87;0,00;220.074.791,04
IGSN3;0,00;;0,00;0,00;0,00;30,75;18,95;-16,35;0,00;17,38;17,38;3,84;0,00;0,00;0,00;0,70;-19,08;-3,37;2,41;0,18;0,82;0,21;35,48;;;5,30;-1,01;0,00;0,00
IGTA3;33,00;;7,56;1,31;0,70;70,78;84,99;58,60;5,22;6,22;1,01;0,25;4,43;3,72;-0,98;2,88;17,38;9,22;13,06;0,53;0,47;0,16;11,96;28,91;;25,11;4,36;0,08;5.444.903.277,00
IGTI11;25,60;1,32;14,45;2,11;1,06;74,31;83,57;46,51;8,04;6,77;1,49;0,39;6,72;6,22;-1,45;2,82;14,63;7,36;13,37;0,50;0,50;0,16;17,05;56,26;50.052.280,90;12,11;1,77;0,21;6.761.191.168,00
IGTI3;3,40;1,42;5,76;0,84;0,42;74,31;83,57;46,51;3,20;6,77;1,49;0,39;2,68;2,48;-0,58;2,82;14,63;7,36;13,37;0,50;0,50;0,16;17,05;56,26;208.293,05;4,04;0,59;0,09;6.761.191.168,00
IGTI4;11,12;1,30;18,82;2,75;1,39;74,31;83,57;46,51;10,48;6,77;1,49;0,39;8,76;8,11;-1,89;2,82;14,63;7,36;13,37;0,50;0,50;0,16;17,05;56,26;24.689,72;4,04;0,59;0,28;6.761.191.168,00
INEP3;2,50;;-0,26;-0,08;0,39;-13,66;-4.468,19;-5.950,49;-0,35;-2,50;-2,17;;15,72;-0,17;-0,59;0,13;-29,15;-147,59;41,84;-5,06;6,06;0,02;-3,27;;75.802,57;-32,47;-9,46;0,00;129.685.024,00
INEP4;2,00;;-0,21;-0,06;0,31;-13,66;-4.468,19;-5.950,49;-0,28;-2,50;-2,17;;12,58;-0,13;-0,47;0,13;-29,15;-147,59;41,84;-5,06;6,06;0,02;-3,27;;27.154,62;-32,47;-9,46;0,00;129.685.024,00
INNT3;0,00;;0,00;0,00;0,00;32,43;12,21;13,07;0,00;5,27;5,27;1,47;0,00;0,00;0,00;1,78;29,88;4,74;-0,92;0,16;0,84;0,36;20,14;;;3,00;0,90;0,00;0,00
INTB3;13,95;8,09;7,95;1,45;0,85;30,38;10,76;12,36;9,13;8,45;-0,68;-0,11;0,98;1,85;-3,16;2,65;18,29;10,64;11,86;0,58;0,41;0,86;15,88;11,88;26.335.171,05;9,60;1,75;0,25;4.570.174.984,50
IRBR3;55,33;2,23;12,92;0,85;0,29;8,45;8,01;7,08;11,41;11,41;;;0,91;2,15;-0,47;1,56;6,59;2,27;;0,34;0,66;0,32;-9,28;;16.912.933,43;64,94;4,28;-0,26;4.528.366.882,38
ISAE3;33,84;4,22;9,51;1,04;0,47;38,81;43,10;24,65;5,44;8,52;3,66;0,70;2,34;4,61;-0,54;4,00;10,94;4,89;9,83;0,45;0,54;0,20;20,55;-6,96;126.505,00;32,52;3,56;-0,28;19.923.787.995,36
ISAE4;28,20;6,56;7,93;0,87;0,39;38,81;43,10;24,65;4,53;8,52;3,66;0,70;1,95;3,84;-0,45;4,00;10,94;4,89;9,83;0,45;0,54;0,20;20,55;-6,96;55.941.486,90;32,52;3,56;-0,23;19.923.787.995,36
ITEC3;40,10;;-35,12;22,04;9,22;-121,18;-18.852,94;-7.435,88;-13,85;-13,21;0,64;-1,02;2.611,73;25,42;-16,70;5,23;-62,76;-26,24;-174,07;0,42;0,58;0,00;-75,29;;;1,82;-1,14;1,36;443.994.658,60
ITSA3;13,50;9,80;8,91;1,68;1,32;25,32;221,97;203,02;8,15;8,37;0,23;0,05;18,10;20,52;-1,49;2,38;18,83;14,83;17,44;0,79;0,17;0,07;7,01;19,20;1.225.890,48;8,04;1,51;0,77;151.090.370.294,18
ITSA4;13,46;9,74;8,89;1,67;1,32;25,32;221,97;203,02;8,13;8,37;0,23;0,05;18,04;20,46;-1,48;2,38;18,83;14,83;17,44;0,79;0,17;0,07;7,01;19,20;490.901.476,57;8,04;1,51;0,77;151.090.370.294,18
ITUB3;44,38;7,09;10,64;2,33;0,15;35,55;12,88;11,83;9,77;9,54;;;1,26;-2,06;-0,16;0,14;21,93;1,45;;0,07;0,93;0,12;17,38;19,47;255.308.787,71;19,02;4,17;1,06;477.796.924.640,86
ITUB4;42,24;7,45;10,13;2,22;0,15;35,55;12,88;11,83;9,30;9,54;;;1,20;-1,96;-0,15;0,14;21,93;1,45;;0,07;0,93;0,12;17,38;19,47;1.126.091.774,24;19,02;4,17;1,01;477.796.924.640,86
JALL3;2,13;;68,09;0,32;0,09;1,93;-5,99;0,44;-5,03;-29,09;-24,06;1,54;0,30;0,31;-0,14;4,85;0,47;0,13;-3,46;0,27;0,73;0,29;14,64;-43,87;2.797.034,57;6,62;0,03;-0,58;646.544.170,32
JBSS3;71,85;;6,80;1,56;0,27;12,49;4,32;1,91;3,01;7,52;4,51;2,33;0,13;1,72;-0,44;1,65;22,87;3,91;13,18;0,17;0,81;2,05;12,21;14,81;80.878.878,00;46,20;10,57;-0,43;62.380.473.709,95
JFEN3;0,67;;-0,05;-0,03;0,01;-39,87;-143,86;-152,80;-0,05;-2,01;-1,96;;0,07;0,26;-0,08;1,06;-64,98;-26,00;-356,46;-0,40;1,39;0,17;43,27;;25.560,29;-22,41;-14,56;0,00;8.577.839,15
JHSF3;11,35;5,29;4,05;1,10;0,43;63,21;65,84;53,01;3,26;3,75;0,49;0,16;2,15;2,26;-0,71;1,92;27,12;10,55;17,45;0,39;0,59;0,20;24,34;24,37;48.200.028,67;10,33;2,80;0,05;7.760.631.825,80
JOPA3;16,80;1,90;13,68;0,29;0,08;25,28;5,08;0,74;2,01;6,84;4,83;0,70;0,10;0,18;-0,30;2,47;2,12;0,57;3,03;0,27;0,66;0,77;2,87;-16,40;0,00;57,96;1,23;-0,39;177.942.620,08
JOPA4;18,01;1,95;14,67;0,31;0,08;25,28;5,08;0,74;2,15;6,84;4,83;0,70;0,11;0,19;-0,32;2,47;2,12;0,57;3,03;0,27;0,66;0,77;2,87;-16,40;816,64;57,96;1,23;-0,42;177.942.620,08
JSLG3;5,52;34,63;-16,56;1,35;0,13;15,45;9,69;-0,98;1,68;8,51;6,83;5,50;0,16;1,65;-0,21;1,28;-8,15;-0,79;6,97;0,10;0,90;0,81;27,81;;4.471.731,48;4,09;-0,33;0,11;1.575.236.421,84
KEPL3;6,66;6,50;8,10;1,51;0,79;23,66;11,94;10,19;6,91;6,68;-0,23;-0,05;0,82;2,36;-2,33;2,03;18,67;9,75;13,03;0,52;0,48;0,96;17,29;16,93;6.460.691,90;4,41;0,82;-0,56;1.196.936.065,80
KLBN11;16,96;5,71;28,34;2,34;0,34;29,80;16,18;3,59;6,29;13,64;7,34;2,73;1,02;3,01;-0,46;1,78;8,26;1,20;6,80;0,15;0,75;0,33;11,61;;80.904.435,10;7,25;0,60;-0,48;21.171.096.259,20
KLBN3;3,43;5,64;28,66;2,37;0,34;29,80;16,18;3,59;6,36;13,64;7,34;2,73;1,03;3,04;-0,47;1,78;8,26;1,20;6,80;0,15;0,75;0,33;11,61;;3.112.534,55;1,45;0,12;-0,49;21.171.096.259,20
KLBN4;3,40;5,69;28,41;2,35;0,34;29,80;16,18;3,59;6,31;13,64;7,34;2,73;1,02;3,01;-0,46;1,78;8,26;1,20;6,80;0,15;0,75;0,33;11,61;;16.134.683,10;1,45;0,12;-0,48;21.171.096.259,20
KRSA3;8,87;;-1,53;2,53;0,14;18,32;8,00;-18,40;3,52;19,84;16,33;11,75;0,28;1,23;-0,20;1,60;-165,61;-9,17;5,27;0,06;0,93;0,50;31,24;;;3,50;-5,80;-0,02;685.959.729,22
