id_musica;musica;id_artista;artista
01a02706-e024-7485-80f6-93dbb704144d;People;01a02706-e015-716c-b555-ccd17a890e47;Agust D
01a02706-e024-7485-80f6-93dccfc85d6e;Shine;01a02706-e015-716c-b555-ccd2b3bfe8b3;Aidan Martin
01a02706-e024-7485-80f6-938331a14edc;夢ノ聖火;01a02706-e015-716c-b555-ccd3ec1301f3;Aijima Cecil
01a02706-e024-7485-80f6-93dd7ee1a8d2;Live to Survive;01a02706-e015-716c-b555-ccd4222d02a9;Aimer
01a02706-e024-7485-80f6-93de83c43b04;ai no hana;01a02706-e015-716c-b555-ccd5fd8d79f9;Aimyon
01a02706-e024-7485-80f6-93dfec2edda2;Blue Shining Star;01a02706-e015-716c-b555-ccd68144481b;Aina The End
01a02706-e024-7485-80f6-93e03b032e93;Luminous;01a02706-e015-716c-b555-ccd68144481b;Aina The End
01a02706-e024-7485-80f6-93e14e9ca6fb;On The Way;01a02706-e015-716c-b555-ccd68144481b;Aina The End
01a02706-e024-7485-80f6-93e27c302645;Ruby on the edge;01a02706-e015-716c-b555-ccd68144481b;Aina The End
01a02706-e024-7485-80f6-93e14e9ca6fb;On The Way;01a02706-e015-716c-b555-ccd70943371f;Aina The End - 革命道中
01a02706-e024-7485-80f6-93e390c03188;Alive After Death;01a02706-e015-716c-b555-ccd8c5bae2b3;Airbourne
01a02706-e024-7485-80f6-93e482a9820c;Here She Comes;01a02706-e015-716c-b555-ccd8c5bae2b3;Airbourne
01a02706-e024-7485-80f6-93e5c03d0e4b;Kid In A Candy Store;01a02706-e015-716c-b555-ccd8c5bae2b3;Airbourne
01a02706-e024-7485-80f6-93e64210bac6;una voz;01a02706-e015-716c-b555-ccd9432c2666;Aisha Ruah
01a02706-e024-7485-80f6-93e75acbc69a;6 DE FEBRERO;01a02706-e015-716c-b555-ccda933c980e;Aitana
01a02706-e024-7485-80f6-93e8f704ca5d;SUPERESTRELLA;01a02706-e015-716c-b555-ccda933c980e;Aitana
01a02706-e024-7485-80f6-93e92f8f833b;RMB;01a02706-e015-716c-b555-ccdb0458196a;Aitch
01a02706-e024-7485-80f6-93eafaef49d7;Unsteady;01a02706-e015-716c-b555-ccdb0458196a;Aitch
01a02706-e024-7485-80f6-93ebc59da8eb;Housebroken;01a02706-e015-716c-b555-ccdcca445c61;Aiyana-Lee
01a02706-e024-7485-80f6-93ece441c39c;Poesie Clandestine;01a02706-e015-716c-b555-ccdd1ab50e81;Aka 7even
01a02706-e024-7485-80f6-93edb4bdc727;〜↑↑ -KARAAGE-;01a02706-e015-716c-b555-ccde2377ddfe;Akagi Wen
01a02706-e024-7485-80f6-93eeac807a69;Years have passed;01a02706-e015-716c-b555-ccdfe4b1ab7c;Akin kaplan
01a02706-e024-7485-80f6-93ef5205b524;Designated Drinker;01a02706-e015-716c-b555-cce09eae706f;Alan Jackson
01a02706-e024-7485-80f6-93f04860a37d;Remember When;01a02706-e015-716c-b555-cce09eae706f;Alan Jackson
01a02706-e024-7485-80f6-93f1514bd341;Still The One;01a02706-e015-716c-b555-cce09eae706f;Alan Jackson
01a02706-e024-7485-80f6-93f299030538;FATE;01a02706-e015-716c-b555-cce1dcd1801c;Alan Walker
01a02706-e024-7485-80f6-93f37c8b16bd;Headlights;01a02706-e015-716c-b555-cce1dcd1801c;Alan Walker
01a02706-e024-7485-80f6-93f42ac8dc9c;Uninvited;01a02706-e015-716c-b555-cce2d5c2cecf;Alanis Morissette
01a02706-e024-7485-80f6-93f562a844aa;Sé esa mujer valiente;01a02706-e015-716c-b555-cce3d37c65f7;Alba Letycia
01a02706-e024-7485-80f6-93f654e5e2a9;Sitting Down Here;01a02706-e015-716c-b555-cce45b969f22;Albi
01a02706-e024-7485-80f6-93f73be52e3f;Sin Despedida;01a02706-e015-716c-b555-cce563c80583;Alejandro Fernández
01a02706-e024-7485-80f6-93f8f56de2bc;Cuéntame;01a02706-e015-716c-b555-cce6016bd0dd;Alejandro Sanz
01a02706-e024-7485-80f6-93f94c0b8dda;Yo Era Poesía;01a02706-e015-716c-b555-cce6016bd0dd;Alejandro Sanz
01a02706-e024-7485-80f6-93fa7a52a349;HIT PARADE;01a02706-e015-716c-b555-cce7bdbeafbe;Alessandra Amoroso
01a02706-e024-7485-80f6-93fbce2167d1;Scars to Your Beautiful;01a02706-e015-716c-b555-cce85870254c;Alessia Cara
01a02706-e024-7485-80f6-93fc890bbfd1;FADE;01a02706-e015-716c-b555-cce950e8f87b;Alesso
01a02706-e024-7485-80f6-93fd48b711ba;In Your Eyes;01a02706-e015-716c-b555-cce950e8f87b;Alesso
01a02706-e024-7485-80f6-93feb15ece91;Club Bizarre;01a02706-e015-716c-b555-ccea942d9a41;Alex Christensen
01a02706-e024-7485-80f6-93ff94d8c350;Energy;01a02706-e015-716c-b555-ccebe9a33fbf;Alex Mills
01a02706-e024-7485-80f6-9400c4034f10;Bloodline;01a02706-e016-7142-b262-e86da111a0c5;Alex Warren
01a02706-e024-7485-80f6-9401ce722749;Carry You Home;01a02706-e016-7142-b262-e86da111a0c5;Alex Warren
01a02706-e024-7485-80f6-940201e7789e;Eternity;01a02706-e016-7142-b262-e86da111a0c5;Alex Warren
01a02706-e024-7485-80f6-94039db25a4e;FEVER DREAM;01a02706-e016-7142-b262-e86da111a0c5;Alex Warren
01a02706-e024-7485-80f6-9404905e9fa7;FINE PLACE TO DIE;01a02706-e016-7142-b262-e86da111a0c5;Alex Warren
01a02706-e024-7485-80f6-940543d486f2;Ordinary;01a02706-e016-7142-b262-e86da111a0c5;Alex Warren
01a02706-e024-7485-80f6-940684b99b14;PASSENGER;01a02706-e016-7142-b262-e86da111a0c5;Alex Warren
01a02706-e024-7485-80f6-94073b371fc2;RESCUER;01a02706-e016-7142-b262-e86da111a0c5;Alex Warren
01a02706-e024-7485-80f6-9408a7cd26a3;Medizin;01a02706-e016-7142-b262-e86eb4d6cdf2;Alexander Eder
01a02706-e024-7485-80f6-94095725a16f;Nimm das Leben nicht zu ernst;01a02706-e016-7142-b262-e86eb4d6cdf2;Alexander Eder
01a02706-e024-7485-80f6-940aae58f02f;Von Mann zu Mann;01a02706-e016-7142-b262-e86fe9d972fe;Alexander Rier
01a02706-e024-7485-80f6-940b98539dbb;Rent Free;01a02706-e016-7142-b262-e870dbab2173;Alexia Jayy
01a02706-e024-7485-80f6-940c97411e0b;Buon Vento;01a02706-e016-7142-b262-e8717302be84;Alfa
01a02706-e024-7485-80f6-940debc55865;Märchen;01a02706-e016-7142-b262-e87217ac6e2d;Alice Stark
01a02706-e024-7485-80f6-940e951a96c6;Empire State of Mind, Pt. 2;01a02706-e016-7142-b262-e873ca685f0e;Alicia Keys
01a02706-e024-7485-80f6-940f8f56f891;Checkmate;01a02706-e016-7142-b262-e8747ff0758b;Alissa White-Gluz
01a02706-e024-7485-80f6-9410d03f7ba3;Freund & Feind;01a02706-e016-7142-b262-e875a9155334;Alix Oder Nix
01a02706-e024-7485-80f6-9411b81c3887;Baby Goodbye;01a02706-e016-7142-b262-e876a425e83d;Alle Farben
01a02706-e024-7485-80f6-941259a8710d;Lost in Time;01a02706-e016-7142-b262-e876a425e83d;Alle Farben
01a02706-e024-7485-80f6-94139df501b2;Ein Herz kann man nicht reparieren;01a02706-e016-7142-b262-e877d818dbbf;Alli Neumann
01a02706-e024-7485-80f6-9414c92472c7;Prologue;01a02706-e016-7142-b262-e878d4008b0c;Allison Russell
01a02706-e024-7485-80f6-94158dc849a3;Vida Mía;01a02706-e016-7142-b262-e8796170300b;Alma Flamenca Sessions
01a02706-e024-7485-80f6-9416d50acc8b;Bokura wa Ima no Naka de;01a02706-e016-7142-b262-e87a6dc2bef3;Almond Eye (CV: Kaori Ishihara)
01a02706-e024-7485-80f6-9417732a5d75;VOLTAGE;01a02706-e016-7142-b262-e87a6dc2bef3;Almond Eye (CV: Kaori Ishihara)
01a02706-e024-7485-80f6-941831f1e669;You Aim A;01a02706-e016-7142-b262-e87a6dc2bef3;Almond Eye (CV: Kaori Ishihara)
01a02706-e024-7485-80f6-93feb15ece91;Club Bizarre;01a02706-e016-7142-b262-e87b8d07359b;Alok
01a02706-e024-7485-80f6-94192ebd1b0e;Everything's Fine;01a02706-e016-7142-b262-e87b8d07359b;Alok
01a02706-e024-7485-80f6-93f37c8b16bd;Headlights;01a02706-e016-7142-b262-e87b8d07359b;Alok
01a02706-e024-7485-80f6-941abda39acc;Run Run River;01a02706-e016-7142-b262-e87b8d07359b;Alok
01a02706-e024-7485-80f6-941babf1efea;Forever Young;01a02706-e016-7142-b262-e87cbd7d9915;Alphaville
01a02706-e024-7485-80f6-941c76870791;Scales Are Falling;01a02706-e016-7142-b262-e87d7f0987c6;Alter Bridge
01a02706-e024-7485-80f6-941d11bfd28b;Dissonance Eden;01a02706-e016-7142-b262-e87efe9e6bbb;Altessimo
01a02706-e024-7485-80f6-941eabe319be;California Dreamin';01a02706-e016-7142-b262-e87f223a67f7;Amason
01a02706-e024-7485-80f6-941f18bf046d;j'me demande;01a02706-e016-7142-b262-e8806eec44a1;Ambre
01a02706-e024-7485-80f6-942092cfe8bb;Pourquoi tu restes;01a02706-e016-7142-b262-e881813c84d9;Amel Bent
01a02706-e024-7485-80f6-94216a3198b8;Gjallarhorn;01a02706-e016-7142-b262-e882a87d1bb4;Amon Amarth
01a02706-e024-7485-80f6-9422717400c8;Upphaf;01a02706-e016-7142-b262-e882a87d1bb4;Amon Amarth
01a02706-e024-7485-80f6-9423451c3969;How Do We Get There From Here;01a02706-e016-7142-b262-e883d36c9bc1;Amy Grant
01a02706-e024-7485-80f6-9424b1267d74;The 6th Of January;01a02706-e016-7142-b262-e883d36c9bc1;Amy Grant
01a02706-e024-7485-80f6-9425ab0f30fe;It's Kinda Hot;01a02706-e016-7142-b262-e88440ecc33d;Amy Shark
01a02706-e024-7485-80f6-94264fa51c8e;Our Last Fight;01a02706-e016-7142-b262-e88440ecc33d;Amy Shark
01a02706-e024-7485-80f6-9427263e3f1f;The Biggest Dick;01a02706-e016-7142-b262-e88440ecc33d;Amy Shark
